"" "V1" "V2" "V3" "V4" "V5"
"1" 97 10 108 3 72
"2" 28 74 15 14 191
"3" 1 79 100 148 13
"4" 146 87 130 89 4
"5" 135 132 31 122 173
"6" 20 134 139 60 92
"7" 144 170 38 125 77
"8" 121 42 86 164 64
"9" 26 128 184 147 9
"10" 8 156 63 158 113
"11" 182 48 126 29 163
"12" 175 65 45 88 62
"13" 140 50 33 133 11
"14" 67 82 197 17 110
"15" 75 6 176 94 56
"16" 44 153 178 194 106
"17" 105 7 73 99 123
"18" 116 162 183 154 23
"19" 172 30 78 142 16
"20" 166 40 96 177 107
"21" 195 124 61 85 136
"22" 52 103 171 36 91
"23" 187 49 196 46 39
"24" 37 190 119 25 35
"25" 167 200 185 137 102
"26" 66 157 55 53 193
"27" 168 98 115 22 5
"28" 165 104 129 81 84
"29" 160 114 109 152 2
"30" 143 161 159 41 117
"31" 58 21 145 54 169
"32" 118 198 95 179 112
"33" 174 47 80 12 186
"34" 188 131 59 51 32
"35" 83 150 120 181 34
"36" 180 189 192 101 18
"37" 149 111 27 127 69
"38" 93 71 90 76 57
"39" 24 70 68 43 199
"40" 141 155 19 151 138
